0字节	0位元組
0杆	0桿
1字节	1位元組
1杆	1桿
2字节	2位元組
2杆	2桿
3字节	3位元組
3杆	3桿
4字节	4位元組
4杆	4桿
5字节	5位元組
5杆	5桿
6字节	6位元組
6杆	6桿
7字节	7位元組
7杆	7桿
8字节	8位元組
8杆	8桿
9字节	9位元組
9杆	9桿
甲型肝炎	A型肝炎
甲肝	A肝
乙型肝炎	B型肝炎
乙肝	B肝
丙型肝炎	C型肝炎
丙肝	C肝
IP地址	IP位址
乔戈里峰	K2
·威尔士	·威爾士
·威爾士	·威爾士
一杆	一桿
七杆	七桿
三杆	三桿
三极管	三極體
三極管	三極體
达累斯萨拉姆	三蘭港
上落客	上下客
上樑	上梁
下樑	下梁
落車	下車
卑詩省	不列顛哥倫比亞省
不來梅	不萊梅
不来梅	不萊梅
幺	么
以太网	乙太網
九杆	九桿
了結他	了結他
二手烟	二手菸
二手煙	二手菸
二杆	二桿
二极管	二極體
二極管	二極體
交互设计	互動設計
五杆	五桿
阿塞拜疆	亞塞拜然
阿斯旺	亞斯文
亚里士多德	亞里斯多德
亞里士多德	亞里斯多德
人工智能	人工智慧
人机交互	人機互動
行人路	人行道
石勒苏益格	什勒斯維希
石勒蘇益格	什勒斯維希
伊利诺伊州	伊利諾州
伊斯坦布尔	伊斯坦堡
伊斯坦布爾	伊斯坦堡
伊斯兰堡	伊斯蘭瑪巴德
伊斯蘭堡	伊斯蘭瑪巴德
埃博拉	伊波拉
伊丽莎白	伊莉莎白
俯卧撑	伏地挺身
掌上壓	伏地挺身
伯明翰	伯明罕
服务器	伺服器
佛罗伦萨	佛羅倫斯
操作系统	作業系統
系数	係數
避孕套	保險套
傅里叶	傅立葉
光盘	光碟
光驱	光碟機
开普勒	克卜勒
開普勒	克卜勒
克罗地亚	克羅埃西亞
克羅地亞	克羅埃西亞
克里斯托弗	克里斯多福
全角	全形
万维网	全球資訊網
全角度	全角度
全角色	全角色
八杆	八桿
公共交通	公共運輸
六杆	六桿
凯瑟琳	凱薩琳
嘉芙蓮	凱薩琳
划着独木舟	划着獨木舟
划着竹筏	划着竹筏
划着船	划着船
打印	列印
列支敦士登	列支敦斯登
前波美拉尼亚	前波莫瑞
前波美拉尼亞	前波莫瑞
加蓬	加彭
加泰罗尼亚	加泰隆尼亞
加泰羅尼亞	加泰隆尼亞
加沙地带	加薩走廊
加沙地帶	加薩走廊
包豪斯	包浩斯
局域网	區域網
局域网络	區域網路
十杆	十桿
特立尼达和多巴哥	千里達及托巴哥
特立尼達和多巴哥	千里達及托巴哥
南斯拉夫联盟共和国	南斯拉夫聯邦共和國
南斯拉夫聯盟共和國	南斯拉夫聯邦共和國
卡斯特罗	卡斯楚
卡塔尔	卡達
卡塔爾	卡達
铆足	卯足
打印机	印表機
打印機	印表機
厄利垂亚	厄利垂亞
厄立特里亚	厄利垂亞
厄立特里亞	厄利垂亞
厄瓜多	厄瓜多
厄瓜多尔	厄瓜多
厄瓜多爾	厄瓜多
源代码	原始碼
圆珠笔	原子筆
反烟	反菸
反煙	反菸
可卡因	古柯鹼
便携式	可攜式
叱咤	叱吒
叱咤9	叱咤9
叱咤M	叱咤M
叱咤叱	叱咤叱
叱咤咤	叱咤咤
叱咤樂壇	叱咤樂壇
斯坦福大学	史丹福大學
斯皮尔伯格	史匹柏
斯特劳斯	史特勞斯
斯威士兰	史瓦帝尼
斯威士蘭	史瓦帝尼
斯蒂芬	史蒂芬
斯大林	史達林
斯科普里	史高比耶
士碌架	司諾克
斯诺克	司諾克
結他	吉他
乞力馬札羅	吉力馬札羅
乞力马扎罗	吉力馬札羅
吉布堤	吉布地
吉布提	吉布地
基里巴斯	吉里巴斯
图瓦卢	吐瓦魯
圖瓦盧	吐瓦魯
吸烟	吸菸
吸煙	吸菸
吕宋烟	呂宋菸
呂宋煙	呂宋菸
格丁根	哥廷根
哥特式	哥德式
哥斯达黎加	哥斯大黎加
哥斯達黎加	哥斯大黎加
唐纳德·特朗普	唐納·川普
當勞·特朗普	唐納·川普
當奴·特朗普	唐納·川普
卡拉奇	喀拉蚩
乔治·奥威尔	喬治·歐威爾
佐治亚	喬治亞
佐治亞	喬治亞
格魯吉亞	喬治亞
格鲁吉亚	喬治亞
单反相机	單眼相機
單鏡反光機	單眼相機
嘯咤	嘯吒
四杆	四桿
圈樑	圈梁
图卢兹	土魯斯
圖盧茲	土魯斯
戛纳	坎城
堪培拉	坎培拉
坦桑尼亚	坦尚尼亞
坦桑尼亞	坦尚尼亞
端口	埠
首席执行官	執行長
报道	報導
塑料袋	塑膠袋
塞舌尔	塞席爾
塞舌爾	塞席爾
萨拉热窝	塞拉耶佛
薩拉熱窩	塞拉耶佛
塞尔维亚和黑山	塞爾維亞與蒙特內哥羅
塞爾維亞和黑山	塞爾維亞與蒙特內哥羅
塞爾維亞與蒙特內哥羅	塞爾維亞與蒙特內哥羅
塞维利亚	塞維亞
西維爾	塞維亞
塞黑	塞蒙
多美和普林西比	多美普林西比
塔希提	大溪地
共和联邦	大英國協
英联邦	大英國協
英聯邦	大英國協
太空飛行員	太空人
宇航员	太空人
穿梭機	太空梭
航天飞机	太空梭
宇航服	太空衣
航天器	太空飛行器
尼日利亚	奈及利亞
尼日利亞	奈及利亞
內羅畢	奈洛比
内罗毕	奈洛比
奥拉夫·朔尔茨	奧拉夫·蕭茲
奧拉夫·朔爾茨	奧拉夫·蕭茲
忌廉	奶油
荷里活	好萊塢
威廉姆斯	威廉士
威斯特法伦	威斯伐倫
威斯特法倫	威斯伐倫
威士顿康星	威斯康辛
威尔士	威爾斯
威爾士	威爾斯
西部数据	威騰電子
存盘	存檔
孟德爾遜	孟德爾頌
门德尔松	孟德爾頌
安哈尔特	安哈特
安哈爾特	安哈特
安提瓜	安地卡
安提瓜和巴布达	安地卡及巴布達
安提瓜和巴布達	安地卡及巴布達
洪都拉斯	宏都拉斯
宿务	宿霧
密歇根	密西根
老挝人民民主共和国	寮人民民主共和國
老撾人民民主共和國	寮人民民主共和國
老挝保护国	寮保護國
老撾保護國	寮保護國
老挝	寮國
老撾	寮國
老挝语	寮語
老撾語	寮語
波里活	寶萊塢
对着干	對着幹
高峰时段	尖峰時段
高峰时间	尖峰時間
贊比亞	尚比亞
赞比亚	尚比亞
尼克松	尼克森
尼日尔	尼日
尼日爾	尼日
屋樑	屋梁
山樑	山梁
雅马哈	山葉
巴厘	峇里
特朗普	川普
机床	工具機
機床	工具機
珍寶客機	巨無霸客機
巴塞罗那	巴塞隆納
巴塞隆拿	巴塞隆納
巴士拉	巴斯拉
巴巴多斯	巴貝多
布基納法索	布吉納法索
布基纳法索	布吉納法索
布什	布希
布殊	布希
布拉迪斯拉发	布拉提斯拉瓦
布拉迪斯拉發	布拉提斯拉瓦
勃兰登堡	布蘭登堡
勃蘭登堡	布蘭登堡
布里斯托尔	布里斯托
布隆方丹	布隆泉
希拉克略	希拉克略
希拉莉	希拉蕊
希拉里	希拉蕊
希特拉	希特勒
残疾人奥林匹克	帕拉林匹克
殘疾人奧林匹克	帕拉林匹克
残奥	帕運
殘奧	帕運
巴尔米拉环礁	帕邁拉環礁
帕劳	帛琉
希拉克	席哈克
账	賬
干着急	干著急
干着	幹著
畿內亞	幾內亞
几内亚比绍	幾內亞比索
幾內亞比紹	幾內亞比索
比利牛斯	庇里牛斯
库尔德人	庫德人
庫爾德人	庫德人
库尔德斯坦	庫德斯坦
庫爾德斯坦	庫德斯坦
庫爾德族	庫德斯坦
库尔德族	庫德族
康涅狄格	康乃狄克
约翰斯顿岛	強斯頓環礁
汇编	彙編
形而上学	形上學
形而上學	形上學
得克萨斯	德克薩斯
得克薩斯	德克薩斯
德累斯頓	德勒斯登
德累斯顿	德勒斯登
德里达	德希達
特拉华	德拉瓦
特拉華	德拉瓦
文翠珊	德蕾莎·梅伊
特蕾莎·梅	德蕾莎·梅伊
快闪存储器	快閃記憶體
闪存	快閃記憶體
情景喜剧	情境喜劇
處境喜劇	情境喜劇
想象	想像
愛德文	愛德溫
艾滋	愛滋
艾奧瓦	愛荷華
爱德华州	愛達荷州
应用程序	應用程式
懸樑	懸梁
懸臂樑	懸臂梁
戈尔巴乔夫	戈巴契夫
戈爾巴喬夫	戈巴契夫
戒烟	戒菸
戒煙	戒菸
戴克里先	戴克里先
打印度	打印度
扛大樑	扛大梁
披头士	披頭四
抽烟	抽菸
抽煙	抽菸
拒烟	拒菸
拒煙	拒菸
挑大樑	挑大梁
卷烟	捲菸
捲煙	捲菸
積架	捷豹
控件	控制項
推杆	推桿
第比利斯	提比里西
挥杆	揮桿
揮杆	揮桿
搜索引擎	搜尋引擎
莫士比港	摩斯比港
莫尔斯比港	摩斯比港
摩根士丹利	摩根史坦利
阿拉伯撒哈拉	撒拉威阿拉伯
台球	檯球
攻打	攻打
数字化	數位化
數碼化	數位化
数字技术	數位技術
數碼技術	數位技術
数字照相机	數位照相機
数码照相机	數位照相機
數碼照相機	數位照相機
数码相机	數位相機
數碼相機	數位相機
数字信号	數位訊號
數碼訊號	數位訊號
数字电视	數位電視
數碼電視	數位電視
数字音乐	數位音樂
數碼音樂	數位音樂
調制解調器	數據機
调制解调器	數據機
斯堪的納維亞	斯堪地那維亞
斯堪的纳维亚	斯堪地那維亞
斯洛文尼亚	斯洛維尼亞
斯洛文尼亞	斯洛維尼亞
新罕布什尔	新罕布夏
施罗德	施洛德
旱烟	旱菸
旱煙	旱菸
太阳微系统	昇陽電腦
太陽電腦	昇陽電腦
比勒陀利	普利托利
普利策	普利茲
普利策奖	普立茲獎
芯片	晶片
智能卡	智慧卡
智能手机	智慧型手機
智能手機	智慧型手機
智能电话	智慧型電話
智能電話	智慧型電話
智能机器人	智慧機器人
智能機械人	智慧機器人
知識產權	智慧財產權
知识产权	智慧財產權
萌島	曼島
马恩岛	曼島
木杆	木桿
木樑	木梁
尾班車	末班車
列奥纳多	李奧納多
杜塞尔多夫	杜塞道夫
杜塞爾多夫	杜塞道夫
迪拜	杜拜
汤加王国	東加王國
湯加王國	東加王國
东盟	東協
亚细安	東協
東盟	東協
东南亚国家联盟	東南亞國家協會
東南亞國家聯盟	東南亞國家協會
柏林墙	柏林圍牆
柏林牆	柏林圍牆
乍得	查德
查韦斯	查維茲
克林頓	柯林頓
克林顿	柯林頓
柱樑	柱梁
戴卓爾	柴契爾
撒切尔	柴契爾
格林納丁斯	格瑞那丁
格林纳丁斯	格瑞那丁
格林納達	格瑞那達
格林纳达	格瑞那達
桃金娘	桃金孃
台式电脑	桌上型電腦
乒乓	桌球
乒乓球	桌球
杆弟	桿弟
杆身	桿身
杆头	桿頭
杆頭	桿頭
樑上	梁上
樑柱	梁柱
梅尔·吉布森	梅爾·吉勃遜
梵高	梵谷
棟樑	棟梁
桑巴舞	森巴舞
榴莲	榴槤
榴蓮	榴槤
枪支	槍枝
标准杆	標準桿
標準杆	標準桿
毛里求斯	模里西斯
毛里裘斯	模里西斯
樸茨茅夫	樸茨茅斯
樹樑	樹梁
橋樑	橋梁
機械人	機器人
几率	機率
電單車	機車
橫樑	橫梁
枱	檯
字段	欄位
奥巴马	歐巴馬
奧巴馬	歐巴馬
正在叱咤	正在叱咤
圣佩德罗苏拉	汕埠
文莱	汶萊
沙律	沙拉
沙地阿拉伯	沙烏地阿拉伯
沙特阿拉伯	沙烏地阿拉伯
法属圭亚那	法屬蓋亞那
波斯尼亚	波士尼亞
波斯尼亞	波士尼亞
波斯尼亚和黑塞哥维那	波士尼亞與赫塞哥維納
波斯尼亞和黑塞哥維那	波士尼亞與赫塞哥維納
博茨瓦納	波札那
博茨瓦纳	波札那
波黑	波赫
洋烟	洋菸
洋煙	洋菸
帕特里克	派屈克
海洛英	海洛因
侯賽因	海珊
侯赛因	海珊
温得和克	溫荷克
溫得和克	溫荷克
鼠标	滑鼠
满杆	滿桿
汉诺威	漢諾瓦
漢诺威	漢諾瓦
泽连斯基	澤倫斯基
澤連斯基	澤倫斯基
乌冬面	烏冬麵
烤烟	烤菸
烤煙	烤菸
無樑樓蓋	無梁樓蓋
无烟日	無菸日
無煙日	無菸日
无烟环境	無菸環境
無煙環境	無菸環境
烟熏	煙燻
首席运营官	營運長
熏烤	燻烤
熏肉	燻肉
熏黑	燻黑
版权信息	版權資訊
疯牛病	狂牛症
瘋牛症	狂牛症
鐵托	狄托
铁托	狄托
塞拉利昂	獅子山
独联体	獨立國協
獨聯體	獨立國協
独立国家联合体	獨立國家國協
獨立國家聯合體	獨立國家國協
多民族玻利維亞國	玻利維亞多民族國
多民族玻利维亚国	玻利維亞多民族國
波利尼西亚	玻里尼西亞
波利尼西亞	玻里尼西亞
本傑明	班傑明
本杰明	班傑明
球杆	球桿
理查德	理察
卢塞恩	琉森
危地馬拉	瓜地馬拉
危地马拉	瓜地馬拉
巴伦西亚	瓦倫西亞
華倫西亞	瓦倫西亞
冈比亚	甘比亞
岡比亞	甘比亞
肯尼迪	甘迺迪
留尼汪	留尼旺
毕加索	畢卡索
综合征	綜合徵
徵狀	症狀
勃朗宁	白朗寧
百慕大	百慕達
卢旺达	盧安達
盧旺達	盧安達
真人騷	真人秀
睾	睪
知識產權局	知識產權局
知识产权局	知識產權局
知識產權署	知識產權署
知识产权署	知識產權署
石樑	石梁
硅	矽
硅藻	硅藻
硬盘	硬碟
硬件	硬體
盘片	碟片
磁盘	磁碟
磁道	磁軌
禁烟	禁菸
禁煙	禁菸
福尔马林	福馬林
福爾馬林	福馬林
私烟	私菸
私煙	私菸
程序员	程式設計師
编程语言	程式語言
空中客车	空中巴士
空气质量	空氣品質
空氣質素	空氣品質
突尼斯	突尼西亞
绑紧跳	笨豬跳
蹦极跳	笨豬跳
短信	簡訊
約翰內斯堡	約翰尼斯堡
约翰内斯堡	約翰尼斯堡
纽黑文	紐哈芬
新奥尔良	紐奧良
新奧爾良	紐奧良
新几内亚	紐幾內亞
新幾內亞	紐幾內亞
新西兰	紐西蘭
新西蘭	紐西蘭
紙煙	紙菸
纸烟	紙菸
索尔仁尼琴	索忍尼辛
索贊尼辛	索忍尼辛
所罗门群岛	索羅門群島
所羅門群島	索羅門群島
索馬里	索馬里
索马里	索馬里
索馬里蘭	索馬利蘭
索马里兰	索馬利蘭
維爾京群島	維京群島
维尔京群岛	維京群島
弗吉尼亚	維吉尼亞
佛得角	維德角
维特根斯坦	維根斯坦
網絡遊戲	網路遊戲
网络游戏	網路遊戲
互联网	網際網路
互联网络	網際網路
互聯網	網際網路
互聯網絡	網際網路
因特网	網際網路
繞樑	繞梁
系着	繫着
卢瓦尔	羅亞爾
盧瓦爾	羅亞爾
卢浮宫	羅浮宮
樂行童軍	羅浮童軍
意大利	義大利
意大利面	意大利麵
意裔	義裔
昂山素姬	翁山蘇姬
昂山素季	翁山蘇姬
圣基茨和尼维斯	聖克里斯多福及尼維斯
聖吉斯納域斯	聖克里斯多福及尼維斯
聖佐治	聖喬治
圣地亚哥	聖地牙哥
圣迭戈	聖地牙哥
